Nazwa_przedmiotu;wykład;ćwiczenia;laboratoirum;projekt;seminarium;Rygor;Semestr
Sieci komputerowe;30; ;30; ; ;Egzamin;4
Niezawodność systemów komputerowych;14;16; ; ; ;Zal;5
Podstawy symulacji;10; ;20; ; ;Zal;5
Komunikacja człowiek-komputer;14; ;16; ; ;Zal;6
Praktyka zawodowa;14; ;16; ; ;Zal;6
Kompresja danych multimedialnych;20; ;24; ; ;Egzamin;5
Routing w sieciach komputerowych;16; ;28; ; ;Egzamin;5
Technologie JavaEE ;10; ;20; ; ;Zal;5
Podstawy aplikacji internetowych;14; ;16; ; ;Zal;5
Systemy operacyjne UNIX;20; ;40; ; ;Egzamin;5
Podstawy zabezpieczeń sieci;18; ;26; ; ;Egzamin;5
Systemy dialogowe;14; ;16; ; ;Zal;6
Technologie projektowania systemów teleinformatycznych;18;6;20; ; ;Egzamin;6
Telefonia IP;10; ;20; ; ;Zal;6
Zarządzanie środowiskiem Windows;20; ;40; ; ;Egzamin;6
Podstawy przetwarzania rozproszonego;10; ;20; ; ;Zal;6
Programowanie mikrokontrolerów;14; ;16; ; ;Zal;5
Systemy telemetryczne;10; ;20; ; ;Zal;6
Programowanie systemów mobilnych;14; ;30; ; ;Egzamin;6
Niskopoziomowe moduły systemowe;20; ;24; ; ;Egzamin;7
